algoritmo,tiempo,memoria
MedicionBuscarLinkedList,7871008700,937264
MedicionBuscarArrayList,4581096800,937274
MedicionBuscarTrie,8615900,10450571
MedicionBuscarHashMap,3680000,1328896
MedicionBuscarTreeMap,19806000,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,61029700,5885
MedicionBuscarArrayList,29546700,5895
MedicionBuscarTrie,6137999,135791
MedicionBuscarHashMap,2541400,8419
MedicionBuscarTreeMap,9425600,8421
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,7.7643928518017775,3.7697464671794534
MedicionBuscarArrayList,7.421867055918718,3.770483809431108
MedicionBuscarTrie,6.942692457901963,5.132870986587608
MedicionBuscarHashMap,6.510464577854886,3.9252605095194353
MedicionBuscarTreeMap,7.07487858271586,3.9253636673541017
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,67842200,5885
MedicionBuscarArrayList,46466400,5895
MedicionBuscarTrie,13967600,0
MedicionBuscarHashMap,4257000,8419
MedicionBuscarTreeMap,13495700,8421
